team,1h,1a,2h,2a,3h,3a,4h,4a
0,5,7,11,10,23,22,27,35
1,4,2,14,15,21,20,31,33
2,1,6,12,16,25,21,28,30
3,6,8,16,9,19,18,32,34
4,7,1,13,12,22,26,33,29
5,8,0,17,13,20,25,34,32
6,2,3,9,11,24,23,29,31
7,0,4,10,17,18,19,35,28
8,3,5,15,14,26,24,30,27
9,3,6,14,16,23,20,30,29
10,0,7,15,17,19,24,35,27
11,6,0,16,12,21,22,28,35
12,4,2,11,13,18,26,31,33
13,5,4,12,15,24,18,32,28
14,8,1,17,9,20,19,33,34
15,1,8,13,10,22,25,27,31
16,2,3,9,11,25,21,34,32
17,7,5,10,14,26,23,29,30
18,3,7,13,12,26,21,33,35
19,7,3,14,10,23,26,35,34
20,1,5,9,14,24,23,30,27
21,2,1,16,11,18,22,32,29
22,0,4,11,15,21,25,29,31
23,6,0,17,9,20,19,34,28
24,8,6,10,13,25,20,27,30
25,5,2,15,16,22,24,28,33
26,4,8,12,17,19,18,31,32
27,8,0,10,15,20,24,35,32
28,7,2,13,11,23,25,33,30
29,4,6,9,17,21,22,31,35
30,2,8,17,9,24,20,28,34
31,6,1,15,12,22,26,32,29
32,5,3,16,13,26,21,27,31
33,1,4,12,14,25,18,34,28
34,3,5,14,16,19,23,30,33
35,0,7,11,10,18,19,29,27
