pot,abbrev,country,team,coefficient,code,status
1,CHE,ENG,Chelsea,96,52914,1
1,COP,DEN,Copenhagen,51.5,52709,1
1,GEN,BEL,Gent,45,4608,1
1,LAS,AUT,LASK,37,63405,1
1,FIO,ITA,Fiorentina,42,52817,1
1,BET,ESP,Real Betis,33,52265,1
2,BAS,TUR,Başakşehir,29,2600288,1
2,MOL,NOR,Molde,28.5,50142,1
2,WAR,POL,Legia Warszawa,18,50146,1
2,HEI,GER,Heidenheim,17.324,2603791,1
2,DJU,SWE,Djurgården,16.5,52809,1
2,APO,CYP,APOEL,14.5,50118,1
3,SKR,AUT,SK Rapid,14,50042,1
3,OMO,CYP,Omonoia,12,50077,1
3,HEL,FIN,Helsinki,11.5,50052,1
3,VIT,POR,Vitória SC,11.263,50097,1
3,AST,KAZ,Astana,11,2600605,1
3,OLI,SVN,Olimpija,10.5,53081,1
4,CER,BEL,Cercle Brugge,9.76,52884,1
4,SHA,IRL,Shamrock Rovers,9.5,52381,1
4,TNS,WAL,The New Saints,8.5,60457,1
4,LUG,SUI,Lugano,8,8538,1
4,HEA,SCO,Hearts,7.21,50120,1
4,MLA,CZE,Mladá Boleslav,7.21,88134,1
5,PET,MDA,Petrocub,7,2607112,1
5,STG,SUI,St. Gallen,6.595,51151,1
5,PAN,GRE,Panathinaikos,6.305,50084,1
5,TSC,SRB,TSC,5.555,2610140,1
5,BOR,BIH,Borac,5.5,50104,1
5,JAG,POL,Jagiellonia,5.075,2600277,1
6,CEL,SVN,Celje,4.5,59030,1
6,LAR,NIR,Larne,4.5,85009,1
6,DNM,BLR,Dinamo-Minsk,4.5,50161,1
6,PAF,CYP,Pafos,4.42,2609532,1
6,VIK,ISL,Víkingur R.,4,52697,1
6,NOA,ARM,Noah,2.125,2609987,1
