pot,abbrev,country,team,id
1,RMA,ESP,Real Madrid,50051
1,MCI,ENG,Man City,52919
1,BAY,GER,Bayern München,50037
1,PSG,FRA,Paris,52747
1,LIV,ENG,Liverpool,7889
1,INT,ITA,Inter,50138
1,BVB,GER,B. Dortmund,52758
1,RBL,GER,Leipzig,2603790
1,BAR,ESP,Barcelona,50080
2,LEV,GER,Leverkusen,50109
2,ATM,ESP,Atleti,50124
2,ATA,ITA,Atalanta,52816
2,JUV,ITA,Juventus,50139
2,BEN,POR,Benfica,50147
2,ARS,ENG,Arsenal,52280
2,BRU,BEL,Club Brugge,50043
2,SHK,UKR,Shakhtar,52707
2,MIL,ITA,Milan,50058
3,FEY,NED,Feyenoord,52749
3,SPO,POR,Sporting CP,50149
3,PSV,NED,PSV,50062
3,GNK,CRO,GNK Dinamo,50164
3,SAL,AUT,Salzburg,50030
3,LIL,FRA,Lille,75797
3,ZVE,SRB,Crvena Zvezda,50069
3,YB,SUI,Young Boys,50031
3,CEL,SCO,Celtic,50050
4,SLB,SVK,S. Bratislava,52797
4,MON,FRA,Monaco,50023
4,SPA,CZE,Sparta Praha,50033
4,AVL,ENG,Aston Villa,52683
4,BOL,ITA,Bologna,52969
4,GIR,ESP,Girona,2602798
4,STU,GER,Stuttgart,50107
4,SGR,AUT,Sturm Graz,50111
4,BRE,FRA,Brest,2601306
