pot,abbrev,country,team,id
1,FIO,ITA,Fiorentina,52817
1,AZ,NED,AZ Alkmaar,52327
1,SHK,UKR,Shakhtar,52707
1,SLB,SVK,S. Bratislava,52797
1,RAP,AUT,SK Rapid,50042
1,LEG,POL,Legia Warszawa,50146
2,SPA,CZE,Sparta Praha,50033
2,DKY,UKR,Dynamo Kyiv,52723
2,CRY,ENG,Crystal Palace,52916
2,LPO,POL,Lech Poznań,64227
2,RAY,ESP,Rayo Vallecano,74070
2,SHR,IRL,Shamrock Rovers,52381
3,OMO,CYP,Omonoia,50077
3,MAI,GER,Mainz,70853
3,RCS,FRA,Strasbourg,59857
3,JAG,POL,Jagiellonia,2600277
3,CLJ,SVN,Celje,59030
3,RIJ,CRO,Rijeka,52356
4,ZRI,BIH,Zrinjski,73390
4,LRI,GIB,L. Red Imps,2605572
4,KUP,FIN,KuPS Kuopio,52350
4,AEK,GRE,AEK Athens,50129
4,ABE,SCO,Aberdeen,50122
4,DRI,KOS,Drita,2608290
5,BRÐ,ISL,Breiðablik,71235
5,SIG,CZE,Sigma Olomouc,52905
5,SAM,TUR,Samsunspor,53060
5,RAK,POL,Raków,60566
5,LAR,CYP,AEK Larnaca,54191
5,SKN,MKD,Shkëndija,75807
6,HÄC,SWE,Häcken,69621
6,LAU,SUI,Lausanne-Sport,4251
6,CRA,ROU,U. Craiova,52338
6,HSP,MLT,Hamrun Spartans ,50060
6,NOA,ARM,Noah,2609987
6,SHL,IRL,Shelbourne,53020
