pot,abbrev,country,team,id
1,ROM,ITA,Roma,50137
1,POR,POR,Porto,50064
1,RAN,SCO,Rangers,50121
1,FEY,NED,Feyenoord,52749
1,LIL,FRA,Lille,75797
1,GNK,CRO,GNK Dinamo,50164
1,BET,ESP,Real Betis,52265
1,SAL,AUT,Salzburg,50030
1,AVL,ENG,Aston Villa,52683
2,FEN,TUR,Fenerbahçe,52692
2,BRA,POR,Braga,52336
2,ZVE,SRB,Crvena Zvezda,50069
2,LYO,FRA,Lyon,5312
2,PAOK,GRE,PAOK,50130
2,PLZ,CZE,Viktoria Plzeň,64388
2,FER,HUN,Ferencváros,52298
2,CEL,SCO,Celtic,50050
2,MTA,ISR,M. Tel-Aviv,57477
3,YB,SUI,Young Boys,50031
3,BSL,SUI,Basel,59856
3,MID,DEN,Midtjylland,75795
3,FRE,GER,Freiburg,59880
3,LUD,BUL,Ludogorets,2603104
3,NFO,ENG,Nott'm Forest,52681
3,SGR,AUT,Sturm Graz,50111
3,FCSB,ROU,FCSB,50065
3,NIC,FRA,Nice,52355
4,BOL,ITA,Bologna,52969
4,CLT,ESP,Celta,53043
4,STU,GER,Stuttgart,50107
4,PAN,GRE,Panathinaikos,50084
4,MAL,SWE,Malmö,50152
4,GAE,NED,Go Ahead Eagles,64207
4,UTR,NED,Utrecht,52323
4,GEN,BEL,Genk,61582
4,BRN,NOR,Brann,52770
