pot,abbrev,country,team,coefficient,code,status
1,RMA,ESP,Real Madrid,136,50051,1
1,MCI,ENG,Man City,148,52919,1
1,BAY,GER,Bayern,144,50037,1
1,PAR,FRA,Paris,116,52747,1
1,LIV,ENG,Liverpool,114,7889,1
1,INT,ITA,Inter,101,50138,1
1,DOR,GER,Dortmund,97,52758,1
1,LEI,GER,Leipzig,97,2603790,1
1,BAR,ESP,Barcelona,91,50080,1
2,LEV,GER,Leverkusen,90,50109,1
2,ATM,ESP,Atlético de Madrid,89,50124,1
2,ATA,ITA,Atalanta,81,52816,1
2,JUV,ITA,Juventus,80,50139,1
2,BEN,POR,Benfica,79,50147,1
2,ARS,ENG,Arsenal,72,52280,1
2,BRU,BEL,Club Brugge,64,50043,1
2,SHK,UKR,Shakhtar Donetsk,63,52707,1
2,MIL,ITA,Milan,59,50058,1
3,FEY,NED,Feyenoord,57,52749,1
3,SPO,POR,Sporting CP,54.5,50149,1
3,PSV,NED,PSV,54,50062,1
3,SLP,CZE,Slavia Praha,53,52498,0
3,DZG,CRO,Dinamo Zagreb,50,50164,0
3,SAL,AUT,Salzburg,50,50030,0
3,ZVE,SRB,Crvena zvezda,40,50069,0
3,YB,SUI,Young Boys,34.5,50031,0
3,CEL,SCO,Celtic,32,50050,1
4,SLO,SVK,Slovan Bratislava,30.5,52797,0
4,MON,FRA,Monaco,24,50023,1
4,SPA,CZE,Sparta Praha,22.5,50033,0
4,AVL,ENG,Aston Villa,20.86,52683,1
4,BOL,ITA,Bologna,18.056,52969,1
4,GIR,ESP,Girona,17.897,2602798,1
4,STU,GER,Stuttgart,17.324,50107,1
4,GRA,AUT,Sturm Graz,14.5,50111,1
4,BRE,FRA,Brest,13.366,2601306,1
