pot,abbrev,country,team,coefficient,code,status
1,CHE,ENG,Chelsea,96,52914,0
1,COP,DEN,Copenhagen,51.5,52709,0
1,GEN,BEL,Gent,45,4608,0
1,FIO,ITA,Fiorentina,42,52817,0
1,BET,ESP,Real Betis,33,52265,0
1,BAS,TUR,Başakşehir,29,2600288,0
2,CLU,ROU,CFR Cluj,26.5,88131,0
2,WAR,POL,Legia Warszawa,18,50146,0
2,HEI,GER,Heidenheim,17.324,2603791,0
2,DJU,SWE,Djurgården,16.5,52809,0
2,SKR,AUT,SK Rapid,14,50042,0
2,LEN,FRA,Lens,13.366,52277,0
3,RIJ,CRO,Rijeka,12,52356,0
3,OMO,CYP,Omonoia,12,50077,0
3,HEL,FIN,Helsinki,11.5,50052,0
3,TRA,TUR,Trabzonspor,11.5,52731,0
3,VIT,POR,Vitória SC,11.263,50097,0
3,AST,KAZ,Astana,11,2600605,0
4,FCS,ROU,FCSB,10.5,50065,0
4,CER,BEL,Cercle Brugge,9.76,52884,0
4,SHA,IRL,Shamrock Rovers,9.5,52381,0
4,LIN,GIB,L. Red Imps,9,2605572,0
4,TNS,WAL,The New Saints,8.5,60457,0
4,LUG,SUI,Lugano,8,8538,0
5,PYU,ARM,Pyunik,8,77431,0
5,RFS,LVA,RFS,8,2609104,0
5,HEA,SCO,Hearts,7.21,50120,0
5,MLA,CZE,Mladá Boleslav,7.21,88134,0
5,PET,MDA,Petrocub,7,2607112,0
5,TSC,SRB,TSC,5.555,2610140,0
6,BOR,BIH,Borac,5.5,50104,0
6,JAG,POL,Jagiellonia,5.075,2600277,0
6,DNM,BLR,Dinamo-Minsk,4.5,50161,0
6,ELF,SWE,Elfsborg,4.3,52344,0
6,VIK,ISL,Víkingur R.,4,52697,0
6,NOA,ARM,Noah,2.125,2609987,0
