pot,abbrev,country,team,coefficient,code,status
1,ROM,ITA,Roma,101,50137,1
1,MUN,ENG,Man United,92,52682,1
1,POR,POR,FC Porto,77,50064,1
1,AJX,NED,Ajax,67,50143,1
1,RAN,SCO,Rangers,63,50121,1
1,FRA,GER,Eintracht Frankfurt,60,50072,1
1,LAZ,ITA,Lazio,54,52973,1
1,TOT,ENG,Tottenham,54,1652,1
1,SLP,CZE,Slavia Praha,53,52498,1
2,RSO,ESP,Real Sociedad,51,50123,1
2,AZ,NED,AZ Alkmaar,50,52327,1
2,BRA,POR,Braga,49,52336,1
2,OLY,GRE,Olympiacos,48,2610,1
2,LYO,FRA,Lyon,44,5312,1
2,PAO,GRE,PAOK,37,50130,1
2,FEN,TUR,Fenerbahçe,36,52692,1
2,MTA,ISR,Maccabi Tel Aviv,35.5,57477,1
2,FER,HUN,Ferencváros,35,52298,1
3,QRB,AZE,Qarabağ,33,60609,1
3,GAL,TUR,Galatasaray,31.5,50067,1
3,PLZ,CZE,Viktoria Plzeň,28,64388,1
3,BOD,NOR,Bodø/Glimt,28,59333,1
3,USG,BEL,Union SG,27,64125,1
3,DKY,UKR,Dynamo Kyiv,26.5,52723,1
3,LUD,BUL,Ludogorets,26,2603104,1
3,MID,DEN,Midtjylland,25.5,75795,1
3,MAL,SWE,Malmö,18.5,50152,1
4,ATH,ESP,Athletic Club,17.897,50125,1
4,HOF,GER,Hoffenheim,17.324,2600431,1
4,NIC,FRA,Nice,17,52355,1
4,AND,BEL,Anderlecht,14.5,50074,1
4,TWE,NED,Twente,12.26,52818,1
4,BES,TUR,Beşiktaş,12,50157,1
4,FCS,ROU,FCSB,10.5,50065,1
4,RFS,LVA,RFS,8,2609104,1
4,ELF,SWE,Elfsborg,4.3,52344,1
