---
timestamp: 2025-08-29 00:00:00
competition: uecl
year: 2025
simulations: 25000
---
t1,t2,home,away,total
0,1,2575,2453,5028
0,2,2540,2456,4996
0,3,2479,2470,4949
0,4,2494,2501,4995
0,5,2521,2511,5032
0,6,2060,1734,3794
0,7,2085,2644,4729
0,8,2029,1848,3877
0,9,2164,2703,4867
0,10,2035,1836,3871
0,11,2018,1844,3862
0,12,2192,1861,4053
0,13,2133,1862,3995
0,14,2151,1872,4023
0,15,2186,2766,4952
0,16,2134,1846,3980
0,17,2101,1896,3997
0,18,2070,2110,4180
0,19,2031,2102,4133
0,20,1983,2206,4189
0,21,2033,2186,4219
0,22,1956,2121,4077
0,23,2030,2172,4202
0,24,2039,1893,3932
0,25,2174,1926,4100
0,26,2122,1878,4000
0,27,2154,2884,5038
0,28,2098,1896,3994
0,29,2084,1852,3936
0,30,2060,2088,4148
0,31,2020,2016,4036
0,32,2081,2096,4177
0,33,1992,2136,4128
0,34,2129,2159,4288
0,35,2047,2176,4223
1,2,2478,2472,4950
1,3,2532,2509,5041
1,4,2538,2452,4990
1,5,2475,2516,4991
1,6,2090,1826,3916
1,7,2095,2655,4750
1,8,2068,1813,3881
1,9,2175,2628,4803
1,10,2034,1762,3796
1,11,2062,1792,3854
1,12,2050,1876,3926
1,13,2123,1897,4020
1,14,2056,1910,3966
1,15,2202,2836,5038
1,16,2107,1885,3992
1,17,2135,1923,4058
1,18,2030,2131,4161
1,19,2075,2070,4145
1,20,2078,2129,4207
1,21,2028,2068,4096
1,22,2094,2114,4208
1,23,2022,2161,4183
1,24,2177,1853,4030
1,25,2223,1842,4065
1,26,2084,1858,3942
1,27,2172,2856,5028
1,28,2094,1847,3941
1,29,2079,1915,3994
1,30,2032,2154,4186
1,31,2007,2175,4182
1,32,2087,2073,4160
1,33,1962,2216,4178
1,34,2069,2078,4147
1,35,2014,2133,4147
2,3,2472,2540,5012
2,4,2527,2528,5055
2,5,2491,2496,4987
2,6,2477,2317,4794
2,7,0,0,0
2,8,2487,2290,4777
2,9,2643,3209,5852
2,10,2553,2275,4828
2,11,2422,2327,4749
2,12,2109,1881,3990
2,13,2101,1806,3907
2,14,2118,1894,4012
2,15,2259,2807,5066
2,16,2130,1948,4078
2,17,2067,1880,3947
2,18,2050,2119,4169
2,19,1971,2106,4077
2,20,2091,2166,4257
2,21,1976,2079,4055
2,22,2036,2171,4207
2,23,2092,2143,4235
2,24,2122,1866,3988
2,25,2093,1940,4033
2,26,2124,1816,3940
2,27,2207,2843,5050
2,28,2106,1907,4013
2,29,2054,1922,3976
2,30,1994,2105,4099
2,31,2041,2081,4122
2,32,2118,2085,4203
2,33,2105,2109,4214
2,34,2037,2119,4156
2,35,1999,2207,4206
3,4,2500,2484,4984
3,5,2533,2481,5014
3,6,2020,1810,3830
3,7,2132,2652,4784
3,8,2092,1861,3953
3,9,2168,2616,4784
3,10,2041,1812,3853
3,11,1995,1801,3796
3,12,2098,1947,4045
3,13,2176,1849,4025
3,14,2160,1886,4046
3,15,2098,2691,4789
3,16,2185,1866,4051
3,17,2170,1874,4044
3,18,1972,2158,4130
3,19,2055,2226,4281
3,20,1995,2129,4124
3,21,2030,2119,4149
3,22,2074,2129,4203
3,23,1987,2126,4113
3,24,2194,1913,4107
3,25,2029,1846,3875
3,26,2188,1898,4086
3,27,2090,2765,4855
3,28,2114,1908,4022
3,29,2150,1905,4055
3,30,2066,2157,4223
3,31,2059,2123,4182
3,32,2123,2133,4256
3,33,1993,2130,4123
3,34,1972,2149,4121
3,35,2022,2073,4095
4,5,2505,2471,4976
4,6,2067,1871,3938
4,7,2128,2546,4674
4,8,2049,1805,3854
4,9,2159,2535,4694
4,10,2123,1832,3955
4,11,2004,1881,3885
4,12,2123,1911,4034
4,13,2000,1833,3833
4,14,2073,1876,3949
4,15,2313,2842,5155
4,16,2030,1894,3924
4,17,2250,1855,4105
4,18,2071,2200,4271
4,19,1993,2177,4170
4,20,2036,1997,4033
4,21,2095,2131,4226
4,22,2012,2174,4186
4,23,2004,2110,4114
4,24,2102,1858,3960
4,25,2084,1842,3926
4,26,2220,1839,4059
4,27,2205,2824,5029
4,28,2123,1926,4049
4,29,2095,1882,3977
4,30,1994,2164,4158
4,31,2081,2098,4179
4,32,2028,2105,4133
4,33,2005,2107,4112
4,34,1974,2201,4175
4,35,2089,2154,4243
5,6,2446,2282,4728
5,7,2734,3329,6063
5,8,2427,2231,4658
5,9,0,0,0
5,10,2401,2296,4697
5,11,2517,2337,4854
5,12,2192,2760,4952
5,13,2260,2960,5220
5,14,2220,2784,5004
5,15,0,0,0
5,16,2211,2764,4975
5,17,2087,2762,4849
5,18,2311,1778,4089
5,19,2395,1799,4194
5,20,2383,1807,4190
5,21,2418,1837,4255
5,22,2291,1828,4119
5,23,2232,1921,4153
5,24,2288,2695,4983
5,25,2209,2792,5001
5,26,2222,2751,4973
5,27,0,0,0
5,28,2218,2763,4981
5,29,2263,2799,5062
5,30,2325,1861,4186
5,31,2353,1946,4299
5,32,2268,1803,4071
5,33,2322,1923,4245
5,34,2277,1836,4113
5,35,2255,1831,4086
6,7,2878,2164,5042
6,8,2501,2452,4953
6,9,2921,2273,5194
6,10,2421,2503,4924
6,11,2439,2448,4887
6,12,1941,1985,3926
6,13,1976,1977,3953
6,14,2010,2057,4067
6,15,2880,2222,5102
6,16,1982,2043,4025
6,17,2003,1924,3927
6,18,1960,1982,3942
6,19,2409,2592,5001
6,20,1963,2050,4013
6,21,1969,2083,4052
6,22,1953,2055,4008
6,23,1954,2030,3984
6,24,2078,2792,4870
6,25,0,0,0
6,26,2029,2723,4752
6,27,2976,2722,5698
6,28,2119,2693,4812
6,29,2129,2739,4868
6,30,2101,1831,3932
6,31,2198,1825,4023
6,32,2188,1803,3991
6,33,2257,1811,4068
6,34,2203,1796,3999
6,35,2722,2265,4987
7,8,2225,2873,5098
7,9,2379,2488,4867
7,10,2178,2814,4992
7,11,2228,2773,5001
7,12,1996,1946,3942
7,13,1963,2005,3968
7,14,2109,1964,4073
7,15,2820,2146,4966
7,16,2025,1920,3945
7,17,2067,2039,4106
7,18,1965,2088,4053
7,19,2398,2605,5003
7,20,1902,2119,4021
7,21,1861,2064,3925
7,22,1971,2071,4042
7,23,1923,2033,3956
7,24,2076,1842,3918
7,25,2329,2238,4567
7,26,2007,1924,3931
7,27,2776,1964,4740
7,28,1937,1909,3846
7,29,2151,1847,3998
7,30,1869,2134,4003
7,31,1856,2140,3996
7,32,1854,2140,3994
7,33,1917,2118,4035
7,34,1916,2137,4053
7,35,2312,2607,4919
8,9,2768,2163,4931
8,10,2545,2516,5061
8,11,2514,2443,4957
8,12,2121,2001,4122
8,13,2052,1958,4010
8,14,2021,1973,3994
8,15,2737,2184,4921
8,16,1989,2018,4007
8,17,1984,1962,3946
8,18,1964,2045,4009
8,19,2456,2650,5106
8,20,1904,2014,3918
8,21,1932,2007,3939
