---
timestamp: 2024-08-30 00:00:00
competition: uel
year: 2024
simulations: 25000
---
t1,t2,home,away,total
0,1,3989,4009,7998
0,2,3329,3401,6730
0,3,3375,3394,6769
0,4,3427,3428,6855
0,5,3396,3423,6819
0,6,0,0,0
0,7,4077,3975,8052
0,8,3407,3370,6777
0,9,2695,2656,5351
0,10,3048,3063,6111
0,11,2942,3138,6080
0,12,2602,2687,5289
0,13,2853,2699,5552
0,14,2715,2657,5372
0,15,2707,2687,5394
0,16,2678,2621,5299
0,17,2760,2792,5552
0,18,2788,2800,5588
0,19,2759,2740,5499
0,20,3166,3110,6276
0,21,2687,2786,5473
0,22,2705,2728,5433
0,23,2758,2682,5440
0,24,2620,2734,5354
0,25,2710,2724,5434
0,26,2807,2696,5503
0,27,2722,2703,5425
0,28,3027,3032,6059
0,29,2599,2751,5350
0,30,2763,2713,5476
0,31,3053,3094,6147
0,32,2736,2678,5414
0,33,2676,2664,5340
0,34,2705,2681,5386
0,35,2719,2684,5403
1,2,3381,3484,6865
1,3,3339,3382,6721
1,4,3363,3339,6702
1,5,3394,3397,6791
1,6,4108,4043,8151
1,7,0,0,0
1,8,3406,3366,6772
1,9,2776,2707,5483
1,10,3031,3042,6073
1,11,3087,3016,6103
1,12,2694,2661,5355
1,13,2638,2726,5364
1,14,2714,2736,5450
1,15,2670,2797,5467
1,16,2711,2663,5374
1,17,2679,2652,5331
1,18,2706,2665,5371
1,19,2665,2741,5406
1,20,3118,3194,6312
1,21,2772,2658,5430
1,22,2799,2748,5547
1,23,2756,2667,5423
1,24,2737,2678,5415
1,25,2719,2838,5557
1,26,2728,2811,5539
1,27,2732,2663,5395
1,28,3094,3097,6191
1,29,2761,2719,5480
1,30,2657,2694,5351
1,31,3062,3065,6127
1,32,2735,2701,5436
1,33,2741,2690,5431
1,34,2642,2708,5350
1,35,2576,2663,5239
2,3,2867,2875,5742
2,4,2832,2855,5687
2,5,2856,2909,5765
2,6,3356,3447,6803
2,7,3375,3438,6813
2,8,2829,2766,5595
2,9,3090,3117,6207
2,10,3546,3538,7084
2,11,0,0,0
2,12,3046,3010,6056
2,13,3106,2956,6062
2,14,3060,3068,6128
2,15,3081,3084,6165
2,16,3031,3134,6165
2,17,3040,3093,6133
2,18,2759,2707,5466
2,19,2688,2770,5458
2,20,3188,3073,6261
2,21,2659,2811,5470
2,22,2799,2741,5540
2,23,2636,2846,5482
2,24,2797,2647,5444
2,25,2755,2705,5460
2,26,2719,2700,5419
2,27,2737,2721,5458
2,28,3093,3039,6132
2,29,2645,2640,5285
2,30,2761,2704,5465
2,31,3082,3055,6137
2,32,2735,2716,5451
2,33,2604,2697,5301
2,34,2667,2720,5387
2,35,2676,2708,5384
3,4,2812,2825,5637
3,5,2800,2897,5697
3,6,3385,3409,6794
3,7,3430,3324,6754
3,8,2922,2964,5886
3,9,3057,3072,6129
3,10,0,0,0
3,11,3553,3492,7045
3,12,3115,3022,6137
3,13,3040,3127,6167
3,14,3060,3181,6241
3,15,3058,2995,6053
3,16,3055,3087,6142
3,17,3062,3024,6086
3,18,2645,2734,5379
3,19,2759,2621,5380
3,20,3099,3068,6167
3,21,2716,2599,5315
3,22,2675,2778,5453
3,23,2723,2770,5493
3,24,2897,2882,5779
3,25,2824,2774,5598
3,26,2662,2774,5436
3,27,3010,2984,5994
3,28,3518,3492,7010
3,29,3060,3127,6187
3,30,3054,3066,6120
3,31,0,0,0
3,32,3082,3118,6200
3,33,3119,3057,6176
3,34,3088,3064,6152
3,35,3069,3092,6161
4,5,2834,2887,5721
4,6,3453,3424,6877
4,7,3417,3370,6787
4,8,2849,2885,5734
4,9,2674,2691,5365
4,10,3175,2954,6129
4,11,3169,3148,6317
4,12,2636,2801,5437
4,13,2661,2735,5396
4,14,2737,2655,5392
4,15,2546,2676,5222
4,16,2676,2680,5356
4,17,2726,2660,5386
4,18,2761,2735,5496
4,19,2696,2780,5476
4,20,3146,3238,6384
4,21,2755,2704,5459
4,22,2784,2743,5527
4,23,2736,2614,5350
4,24,2674,2684,5358
4,25,2676,2713,5389
4,26,2772,2789,5561
4,27,2586,2772,5358
4,28,3168,3026,6194
4,29,2740,2643,5383
4,30,2584,2730,5314
4,31,3141,3032,6173
4,32,2709,2716,5425
4,33,2686,2668,5354
4,34,2642,2760,5402
4,35,2744,2653,5397
5,6,3315,3329,6644
5,7,3346,3446,6792
5,8,2826,2945,5771
5,9,2698,2722,5420
5,10,3016,3021,6037
5,11,3092,3047,6139
5,12,2839,2671,5510
5,13,2614,2661,5275
5,14,2628,2694,5322
5,15,2699,2764,5463
5,16,2772,2649,5421
5,17,2642,2771,5413
5,18,2799,2717,5516
5,19,2814,2791,5605
5,20,3100,3090,6190
5,21,2735,2706,5441
5,22,2736,2690,5426
5,23,2741,2773,5514
5,24,2671,2730,5401
5,25,2698,2793,5491
5,26,2706,2710,5416
5,27,3035,3101,6136
5,28,0,0,0
5,29,3071,3057,6128
5,30,3113,2998,6111
5,31,3525,3568,7093
5,32,3088,3020,6108
5,33,2949,3112,6061
5,34,3063,3028,6091
5,35,3156,3116,6272
6,7,3982,4052,8034
6,8,3366,3331,6697
6,9,2691,2694,5385
6,10,2970,3076,6046
6,11,3097,3056,6153
6,12,2712,2750,5462
